CATEGORY L1,CATEGORY L2,CATEGORY L3,GDW_SUBCATEGORY
IT Hardware,IT Hardware & Infrastructure Services,"IT Hardware Maintenance, services and repairs",IT INFRASTRUCTURE SERVICES
IT Hardware,IT Hardware & Infrastructure Services,Platform / Infrastructure as a Service (PaaS / IaaS),IT INFRASTRUCTURE SERVICES
IT Hardware,"Telephony, Data Lines & Communication Services",Data lines,TELECOM & CONTACT INFRASTRUCTURE
IT Hardware,"Telephony, Data Lines & Communication Services",Landline telephony,TELECOM & CONTACT INFRASTRUCTURE
IT Hardware,"Telephony, Data Lines & Communication Services",Mobile connectivity,WIRELESS
IT Hardware,"Telephony, Data Lines & Communication Services",One time network connection cost,0
Media & Marketing,Content Production,External Content Creation,MEDIA PRODUCTION
Media & Marketing,Content Production,Other Content Production,MEDIA PRODUCTION
Media & Marketing,Content Production,Production Equipment,MEDIA PRODUCTION
Media & Marketing,Content Production,Production Location,MEDIA PRODUCTION
Media & Marketing,Creative Agencies & Campaign Production,,0
Media & Marketing,Event Management,Event Catering,FOOD SERVICES
Media & Marketing,Event Management,Event Locations,EVENTS AGENCIES
Media & Marketing,Event Management,Event Management & Production Services,EVENTS AGENCIES
Media & Marketing,Event Management,Internal Events,EVENTS AGENCIES
Media & Marketing,Event Management,Other event services,EVENTS AGENCIES
Media & Marketing,Event Management,Technical Event Equipment,EVENT EXHIBITS & DISPLAYS
Media & Marketing,External Workforce - Art Buying,Celebrities & Actors,0
Media & Marketing,External Workforce - Art Buying,Hair & Make up,0
Media & Marketing,External Workforce - Art Buying,Models,0
Media & Marketing,External Workforce - Art Buying,Other Art Buying,WORKING MEDIA
Media & Marketing,External Workforce - Art Buying,Photographers,0
Media & Marketing,External Workforce - Art Buying,Stylists,0
Media & Marketing,Influencer Marketing,,0
Media & Marketing,Media Buying Offline,D(OOH),WORKING MEDIA - OUTDOOR ADVERTISING
Media & Marketing,Media Buying Offline,Digital Radio,WORKING MEDIA - RADIO ADVERTISING
Media & Marketing,Media Buying Offline,Digital TV,WORKING MEDIA - TV ADVERTISING (LINEAR / OTT)
Media & Marketing,Media Buying Offline,Other Media Buying Offline,WORKING MEDIA
Media & Marketing,Media Buying Offline,Print Ads,WORKING MEDIA - PUBLICATIONS (PRINT & DIGITAL)
Media & Marketing,Media Buying Offline,Radio,WORKING MEDIA - RADIO ADVERTISING
Media & Marketing,Media Buying Offline,TV,WORKING MEDIA
Media & Marketing,Media Buying Online,Affiliate,AFFILIATES
Media & Marketing,Media Buying Online,Direct Deals,WORKING MEDIA
Media & Marketing,Media Buying Online,Paid Social Media,WORKING MEDIA - PAID SOCIAL
Media & Marketing,Media Buying Online,Programmatic Display,WORKING MEDIA - DISPLAY
Media & Marketing,Print services,Branded/Printed Items,PROMOTIONAL PRODUCTS
Media & Marketing,Print services,Parcel Inserts & Offline Mailings (Production & Shipping),FREE STANDING INSERTS
Media & Marketing,Print services,"Posters, Flyer, Brochures and Business Cards",FLYERS & BROCHURES
Media & Marketing,Public Relations,Corporate PR & Corp. Events,PUBLIC RELATIONS AGENCIES
Media & Marketing,Public Relations,Fashion PR & Consumer Events,PUBLIC RELATIONS AGENCIES
Media & Marketing,Public Relations,Other PR services,PUBLIC RELATIONS AGENCIES
Media & Marketing,Public Relations,Public Affairs,PUBLIC RELATIONS AGENCIES
Media & Marketing,Search Engine Marketing,SEA,WORKING MEDIA - PAID SEARCH
Media & Marketing,Search Engine Marketing,SEO,WORKING MEDIA - PAID SEARCH
Media & Marketing,Social Media,Owned Social Media,WORKING MEDIA - PAID SOCIAL
Media & Marketing,Social Media,Paid Media Collaborations,WORKING MEDIA - PAID SOCIAL
Media & Marketing,Tools & Research,AdTech Tools,MAR TECH - ADVERTISING & PROMOTIONS
Media & Marketing,Tools & Research,Research & Analytics,MARKET RESEARCH
Packaging,Cardboard Boxes,Intralogistics,CORRUGATED
Packaging,Cardboard Boxes,Other Boxes,CORRUGATED
Packaging,Cardboard Boxes,Shipping Box,CORRUGATED
Packaging,Cardboard Boxes,Spare Box,CORRUGATED
Packaging,Cardboard Boxes,Stow Box,CORRUGATED
Packaging,Equipment & Auxiliar,Auxiliar Packaging,PACKAGING EQUIPMENT
Packaging,Equipment & Auxiliar,Packaging Equipment,PACKAGING EQUIPMENT
Packaging,Labels,Label,LABELS
Packaging,Miscellaneuos,Delivery slip,RETAIL PACKAGING
Packaging,Miscellaneuos,Hangers,RETAIL PACKAGING
Packaging,Miscellaneuos,Miscellaneous Others,RETAIL PACKAGING
Packaging,Miscellaneuos,shoe refurbishment,0
Packaging,Miscellaneuos,textile refurbishment,0
Packaging,Paper Bag,Paper Beauty Bag,FLEXIBLE PACKAGING
Packaging,Paper Bag,Paper shipping bag,MAILERS & PACKING ENVELOPES
Packaging,Plastic Bag,Polybag,FLEXIBLE PACKAGING
Packaging,Plastic Bag,Shipping Bags,BAGS & SACKS
Payments & Corporate Services,Consulting & Advisory,Financial Advisory & Financial Audits,ACCOUNTING & AUDITING
Payments & Corporate Services,Consulting & Advisory,Legal Patents & IP Rights,ADVISORY & MANAGEMENT CONSULTING
Payments & Corporate Services,Consulting & Advisory,Legal Services & Advisory,ADVISORY & MANAGEMENT CONSULTING
Payments & Corporate Services,Consulting & Advisory,Logistics & Operations Consulting,ADVISORY & MANAGEMENT CONSULTING
Payments & Corporate Services,Consulting & Advisory,Management & Business Consulting,ADVISORY & MANAGEMENT CONSULTING
Payments & Corporate Services,Consulting & Advisory,Other Consulting,ADVISORY & MANAGEMENT CONSULTING
Payments & Corporate Services,Consulting & Advisory,Tax Compliance,TAX SERVICES
Payments & Corporate Services,Consulting & Advisory,Tax Services & Advisory,TAX SERVICES
Payments & Corporate Services,Customer & Partner Services,Customer Care Services,CREDIT CARD PROCESSING
Payments & Corporate Services,Customer & Partner Services,Partner Care Services,CREDIT CARD PROCESSING
Payments & Corporate Services,External Workforce - Freelancing,Freelancing (creative),FREELANCERS
Payments & Corporate Services,External Workforce - Freelancing,Freelancing (non-creative),FREELANCERS
Payments & Corporate Services,External Workforce - Temporary Labour,Office & Executive Temp Labour,FREELANCERS
Payments & Corporate Services,External Workforce - Temporary Labour,Store Temp Labour,CONTINGENT LABOR
Payments & Corporate Services,External Workforce - Temporary Labour,Warehouse Temp Labour,CONTINGENT LABOR
Payments & Corporate Services,Gift Cards,Gift Cards - Production,GIFT & LOYALTY CARDS
Payments & Corporate Services,Gift Cards,Gift Cards - Resell Services & Commissions,GIFT & LOYALTY CARDS
Payments & Corporate Services,Gift Cards,Gift Cards Production,GIFT & LOYALTY CARDS
Payments & Corporate Services,Insurance / Association & membership,Fees for Associations & Memberships,MEMBERSHIPS
Payments & Corporate Services,Insurance / Association & membership,Insurances,MEMBERSHIPS
Payments & Corporate Services,"Non-Financial Audits, Appraisals and Technical Inspections","Compliance Services, Certifications & Appraisals",ACCOUNTING & AUDITING
Payments & Corporate Services,"Non-Financial Audits, Appraisals and Technical Inspections",Non-Financial Audits,ACCOUNTING & AUDITING
Payments & Corporate Services,"Non-Financial Audits, Appraisals and Technical Inspections",Product testing and compliance services,ACCOUNTING & AUDITING
Payments & Corporate Services,"Non-Financial Audits, Appraisals and Technical Inspections",Technical inspections,ACCOUNTING & AUDITING
Payments & Corporate Services,P&O Services,Employee Relocation Services,RELOCATION SERVICES
Payments & Corporate Services,P&O Services,Executive Headhunting,0
Payments & Corporate Services,P&O Services,Non-Executive Headhunting,0
Payments & Corporate Services,P&O Services,Other P&O Services,CREDIT CARD PROCESSING
Payments & Corporate Services,P&O Services,Payroll Services,PAYROLL PROCESSING
Payments & Corporate Services,Payments Services,Collection Services,CREDIT CARD PROCESSING
Payments & Corporate Services,Payments Services,Credit Card Acquiring,CREDIT CARD PROCESSING
Payments & Corporate Services,Payments Services,"Customer Solvency, Risk & Fraud Prevention Services",CREDIT CARD PROCESSING
Payments & Corporate Services,Payments Services,Dunning Services,CREDIT CARD PROCESSING
Payments & Corporate Services,Payments Services,"Partner Solvency, Risk & Fraud Prevention Services",CREDIT CARD PROCESSING
Payments & Corporate Services,Payments Services,Payment Processing Services,CREDIT CARD PROCESSING
Payments & Corporate Services,Translation Services,Interpreting,TRANSLATION SERVICES
Payments & Corporate Services,Translation Services,"Translations (text, dubbing, localisation, other)",TRANSLATION SERVICES
Payments & Corporate Services,Treasury and Financing Services,Cash Management,CREDIT CARD PROCESSING
Payments & Corporate Services,Treasury and Financing Services,Financing Business,BANKING SERVICES
Payments & Corporate Services,Treasury and Financing Services,Risk Management,FINANCIAL & RISK ADVISORY
Software & IT Services,IT Consulting,IT Process Consulting,IT CONSULTING
Software & IT Services,IT Consulting,Other IT Consulting,IT CONSULTING
Software & IT Services,IT Consulting,Software related Training,IT CONSULTING
Software & IT Services,IT Services,Domains,DOMAIN NAME & HOSTING
Software & IT Services,IT Services,IT Service Outsourcing,IT CONSULTING
Software & IT Services,IT Services,Other IT Services,IT CONSULTING
Software & IT Services,IT Services,Software Engineering and Implementation,IT CONSULTING
Software & IT Services,IT Services,Software related Support,IT CONSULTING
Software & IT Services,Software,Customer/ Partner Facing Software (Subscriptions),FINANCE & ACCOUNTING SOFTWARE
Software & IT Services,Software,Data Managment Software (Subscriptions),TESTING & TEST DATA MGMT
Software & IT Services,Software,Engineering Software (Subscription),SW DEV & DEVOPS SOLUTIONS
Software & IT Services,Software,ERP Corporate Governance & Finance Software (Subscriptions),FINANCE & ACCOUNTING SOFTWARE
Software & IT Services,Software,Fonts,0
Software & IT Services,Software,HR Software (Subscriptions),HR SERVICES
Software & IT Services,Software,Licenses (Perpetual),0
Software & IT Services,Software,Logistics Software (Subsciptions),INDUSTRY SOFTWARE - TRANSPORTATION
Software & IT Services,Software,Maintenance for Perpetual Licenses,THIRD PARTY MAINTENANCE
Software & IT Services,Software,Other Software,SOFTWARE
Software & IT Services,Software,Workplace Productivity Software (Subscriptions),PRODUCTIVITY & WORKSPACE APPS
Transportation Services,Inbound/First Mile,Ocean & Air Freight,FREIGHT FORWARDING
Transportation Services,Inbound/First Mile,Road Freight,RAIL
Transportation Services,Last Mile,Outbound CEP,0
Transportation Services,Linehaul/Middle Mile,Pallet Management,LTL
Transportation Services,Linehaul/Middle Mile,Transport Linehaul,LTL
Transportation Services,Logistics & Fulfillment Services,Logistics & Fulfillment Services,CUSTOMS BROKERAGE
Transportation Services,Miscellaneous Services,Other Miscellaneous Services,CUSTOMS BROKERAGE
Warehouse Equipment,Automation,Automation Robots,CONVEYORS & SORTATION
Warehouse Equipment,Automation,Conveyor System,CONVEYORS & SORTATION
Warehouse Equipment,Automation,Initial Spare Parts Package,OEM PARTS / SPARES
Warehouse Equipment,Automation,Multiple Major Systems,CONVEYORS & SORTATION
Warehouse Equipment,Automation,Other Automation Warehouse Technologies,CONVEYORS & SORTATION
Warehouse Equipment,Automation,Picking Systems,CONVEYORS & SORTATION
Warehouse Equipment,Automation,Sorter Systems,CONVEYORS & SORTATION
Warehouse Equipment,Carts,Aluminium Carts,0
Warehouse Equipment,Carts,Steel Carts,RACKING & SHELVING
Warehouse Equipment,Industrial Trucks,Material Handling Equipment (Forklift),LIFT TRUCKS
Warehouse Equipment,Industrial Trucks,Swap Body Truck,LIFT TRUCKS
Warehouse Equipment,Maintenance,Maintenance Conveyor System,CONVEYORS & SORTATION
Warehouse Equipment,Maintenance,Maintenance Industrial Trucks,LIFT TRUCK MAINTENANCE & REPAIR
Warehouse Equipment,Maintenance,Maintenance Picking Systems,CONVEYORS & SORTATION
Warehouse Equipment,Maintenance,Maintenance Robots,EQUIPMENT MAINTENANCE & REPAIR
Warehouse Equipment,Maintenance,Maintenance Sorter Systems,CONVEYORS & SORTATION
Warehouse Equipment,Maintenance,Other Maintenance Warehouse Technologies,EQUIPMENT MAINTENANCE & REPAIR
Warehouse Equipment,Maintenance,Spare Parts Replenishment,FLEET PARTS & EQUIPMENT
Warehouse Equipment,Storage Systems,Labeling,LABELS
Warehouse Equipment,Storage Systems,Other Storage Systems,CONVEYORS & SORTATION
Warehouse Equipment,Storage Systems,Pallet Systems,PACKAGING EQUIPMENT
Warehouse Equipment,Storage Systems,Pick Towers,CONVEYORS & SORTATION
Warehouse Equipment,Storage Systems,Steel Construction,RACKING & SHELVING
Warehouse Equipment,Totes,Beauty Metal Boxes,PLASTIC CONTAINERS/TOTES
Warehouse Equipment,Totes,Other totes / plastic boxes,PLASTIC CONTAINERS/TOTES
Warehouse Equipment,Totes,Totes for Conveyor Technology,CONVEYORS & SORTATION
Warehouse Equipment,Totes,Totes for Shuttle Technology,PLASTIC CONTAINERS/TOTES
Warehouse Equipment,Workstations,Lift Tables,LIFT TRUCKS
Warehouse Equipment,Workstations,Other Workstations,OFFICE FURNITURE
Warehouse Equipment,Workstations,Worktables,OFFICE FURNITURE
