target_l1,target_l2,target_l3,matched_l2,matched_l3,confidence,method_used,top_3_candidates,reasoning
(Corporate) Property,Real Estate,MEP Other Works,CONSTRUCTION SERVICES,MEP CONSTRUCTION SERVICES,0.5839204640246267,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""MEP CONSTRUCTION SERVICES"", ""score"": 0.0, ""definition"": ""MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building\u2019s operational integrity and occupant comfort.""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""ARCHITECTURE & INTERIOR DESIGN"", ""score"": 0.0, ""definition"": ""Architectural services for the company's buildings and property Interior design services for the company's office space""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING ENGINEERING SERVICES"", ""score"": 0.0, ""definition"": ""Engineering or hard services related to building installation, repair, and maintenance""}]","MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building’s operational integrity and occupant comfort."
(Corporate) Property,Real Estate,MEP Works Electric (440),CONSTRUCTION SERVICES,MEP CONSTRUCTION SERVICES,0.5710708924808956,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""MEP CONSTRUCTION SERVICES"", ""score"": 0.0, ""definition"": ""MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building\u2019s operational integrity and occupant comfort.""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""ELECTRICAL SERVICES"", ""score"": 0.0, ""definition"": ""Electrical contractors and electricians""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING ENGINEERING SERVICES"", ""score"": 0.0, ""definition"": ""Engineering or hard services related to building installation, repair, and maintenance""}]","MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building’s operational integrity and occupant comfort."
(Corporate) Property,Real Estate,MEP Works HVAC ventilation (430),CONSTRUCTION SERVICES,MEP CONSTRUCTION SERVICES,0.5725643550662143,similarity_search,"[{""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""MEP CONSTRUCTION SERVICES"", ""score"": 0.0, ""definition"": ""MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building\u2019s operational integrity and occupant comfort.""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""HVAC/R"", ""score"": 0.0, ""definition"": ""HVAC installation, repair and maintenance services""}, {""l2"": ""INDUSTRIAL SUPPLIES"", ""l3"": ""HVAC & PLUMBING SUPPLIES"", ""score"": 0.0, ""definition"": ""Materials associated with the installation and maintenance of HVAC and plumbing systems""}]","MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building’s operational integrity and occupant comfort."
(Corporate) Property,Real Estate,MEP Works Sprinkler (470),BUILDING REPAIR & MAINTENANCE,FIRE & LIFE SAFETY,0.5605100321161868,similarity_search,"[{""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""FIRE & LIFE SAFETY"", ""score"": 0.0, ""definition"": ""Fire suppression and sprinkler system installation, repair, and maintenance""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""MEP CONSTRUCTION SERVICES"", ""score"": 0.0, ""definition"": ""MEP (Mechanical, Electrical, and Plumbing) construction services involve the design, installation, and maintenance of systems that provide building functionality and comfort. These include HVAC systems, power distribution, lighting, fire protection, water supply, and drainage. MEP contractors coordinate closely with architects and general contractors to ensure that all mechanical and electrical systems meet safety codes, efficiency standards, and sustainability goals. The service covers everything from initial planning and engineering to commissioning and ongoing maintenance, ensuring the building\u2019s operational integrity and occupant comfort.""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING ENGINEERING SERVICES"", ""score"": 0.0, ""definition"": ""Engineering or hard services related to building installation, repair, and maintenance""}]","Fire suppression and sprinkler system installation, repair, and maintenance"
(Corporate) Property,Rent (incl. auxiliary expenses),Event Location rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.6070988359182794,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""EVENTS & CONFERENCES"", ""l3"": ""EVENT SPACE & RENTALS"", ""score"": 0.0, ""definition"": ""Working with companies that rent and sell various furniture, equipment, and d\u00e9cor required for the execution of an event. This may also include the renting of space at a hotel, banquet hall, or other location for the purpose of hosting an event.""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""MEETING / COWORKING SPACES"", ""score"": 0.0, ""definition"": ""Temporary office space for short term rent/coworking""}]",Facility and property lease and rental payments
(Corporate) Property,Rent (incl. auxiliary expenses),Office Rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.6346957494409297,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""MEETING / COWORKING SPACES"", ""score"": 0.0, ""definition"": ""Temporary office space for short term rent/coworking""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""POSTAGE & POSTAGE EQUIPMENT"", ""score"": 0.0, ""definition"": ""Postage and/or lease/rental of postage machines""}]",Facility and property lease and rental payments
(Corporate) Property,Rent (incl. auxiliary expenses),Other Rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.6483966128471775,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""POSTAGE & POSTAGE EQUIPMENT"", ""score"": 0.0, ""definition"": ""Postage and/or lease/rental of postage machines""}, {""l2"": ""REAL ESTATE SERVICES"", ""l3"": ""LEASE ADMINISTRATION"", ""score"": 0.0, ""definition"": ""Leasing / rental administration service""}]",Facility and property lease and rental payments
(Corporate) Property,Rent (incl. auxiliary expenses),Residential Rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.634848023228676,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""REAL ESTATE SERVICES"", ""l3"": ""LEASE ADMINISTRATION"", ""score"": 0.0, ""definition"": ""Leasing / rental administration service""}, {""l2"": ""TRAVEL EXPENSES"", ""l3"": ""CORPORATE HOUSING"", ""score"": 0.0, ""definition"": ""Short term housing service sponsored by the company.""}]",Facility and property lease and rental payments
(Corporate) Property,Rent (incl. auxiliary expenses),Shop/Outlet/Showroom Rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.5757982911582697,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""MEETING / COWORKING SPACES"", ""score"": 0.0, ""definition"": ""Temporary office space for short term rent/coworking""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""POSTAGE & POSTAGE EQUIPMENT"", ""score"": 0.0, ""definition"": ""Postage and/or lease/rental of postage machines""}]",Facility and property lease and rental payments
(Corporate) Property,Rent (incl. auxiliary expenses),Warehouse Rent,FACILITY SERVICES,FACILITY / PROPERTY RENT,0.6205225545635148,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""FACILITY / PROPERTY RENT"", ""score"": 0.0, ""definition"": ""Facility and property lease and rental payments""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""POSTAGE & POSTAGE EQUIPMENT"", ""score"": 0.0, ""definition"": ""Postage and/or lease/rental of postage machines""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""MEETING / COWORKING SPACES"", ""score"": 0.0, ""definition"": ""Temporary office space for short term rent/coworking""}]",Facility and property lease and rental payments
(Corporate) Property,Utilities,Electricity,UTILITIES,ELECTRICITY,0.775698386898589,similarity_search,"[{""l2"": ""UTILITIES"", ""l3"": ""ELECTRICITY"", ""score"": 0.0, ""definition"": ""Electricity service""}, {""l2"": ""UTILITIES"", ""l3"": ""WATER & SEWER"", ""score"": 0.0, ""definition"": ""Water and sewer utilities.""}, {""l2"": ""UTILITIES"", ""l3"": ""UTILITIES MANAGEMENT SERVICES"", ""score"": 0.0, ""definition"": ""Utility consulting services, including utility bill payment, processing, bill audit and energy procurement""}]",Electricity service
(Corporate) Property,Utilities,Gas,UTILITIES,NATURAL GAS,0.720495853364967,similarity_search,"[{""l2"": ""UTILITIES"", ""l3"": ""NATURAL GAS"", ""score"": 0.0, ""definition"": ""Natural gas service""}, {""l2"": ""UTILITIES"", ""l3"": ""WATER & SEWER"", ""score"": 0.0, ""definition"": ""Water and sewer utilities.""}, {""l2"": ""UTILITIES"", ""l3"": ""ELECTRICITY"", ""score"": 0.0, ""definition"": ""Electricity service""}]",Natural gas service
(Corporate) Property,Utilities,Other Utility Expenses,UTILITIES,WATER & SEWER,0.604227411243032,similarity_search,"[{""l2"": ""UTILITIES"", ""l3"": ""WATER & SEWER"", ""score"": 0.0, ""definition"": ""Water and sewer utilities.""}, {""l2"": ""UTILITIES"", ""l3"": ""UTILITIES MANAGEMENT SERVICES"", ""score"": 0.0, ""definition"": ""Utility consulting services, including utility bill payment, processing, bill audit and energy procurement""}, {""l2"": ""UTILITIES"", ""l3"": ""ELECTRICITY"", ""score"": 0.0, ""definition"": ""Electricity service""}]",Water and sewer utilities.
(Corporate) Property,Utilities,Regulatory waste/recycling fees,WASTE DISPOSAL & RECYCLING,WASTE DISPOSAL & RECYCLING,0.5829672987153324,similarity_search,"[{""l2"": ""WASTE DISPOSAL & RECYCLING"", ""l3"": ""WASTE DISPOSAL & RECYCLING"", ""score"": 0.0, ""definition"": ""General waste disposal services""}, {""l2"": ""WASTE DISPOSAL & RECYCLING"", ""l3"": ""RECYCLING SERVICES"", ""score"": 0.0, ""definition"": ""Recycling services""}, {""l2"": ""UTILITIES"", ""l3"": ""WATER & SEWER"", ""score"": 0.0, ""definition"": ""Water and sewer utilities.""}]",General waste disposal services
(Corporate) Property,Utilities,Waste disposal/recycling,WASTE DISPOSAL & RECYCLING,WASTE DISPOSAL & RECYCLING,0.6728029451609538,similarity_search,"[{""l2"": ""WASTE DISPOSAL & RECYCLING"", ""l3"": ""WASTE DISPOSAL & RECYCLING"", ""score"": 0.0, ""definition"": ""General waste disposal services""}, {""l2"": ""WASTE DISPOSAL & RECYCLING"", ""l3"": ""RECYCLING SERVICES"", ""score"": 0.0, ""definition"": ""Recycling services""}, {""l2"": ""WASTE DISPOSAL & RECYCLING"", ""l3"": ""BULK WASTE PICKUP"", ""score"": 0.0, ""definition"": ""Bulk waste collection service""}]",General waste disposal services
Employee Services,Building furnishing,Office Furniture,FACILITY SERVICES,OFFICE FURNITURE,0.7135227705978677,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""OFFICE FURNITURE"", ""score"": 0.0, ""definition"": ""Desks, chairs, cubicles, artwork, d\u00e9cor""}, {""l2"": ""CORPORATE OFFICE"", ""l3"": ""SUNDRIES"", ""score"": 0.0, ""definition"": ""General goods purchased for office use""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""ARCHITECTURE & INTERIOR DESIGN"", ""score"": 0.0, ""definition"": ""Architectural services for the company's buildings and property Interior design services for the company's office space""}]","Desks, chairs, cubicles, artwork, décor"
Employee Services,Building furnishing,Other Building Furnishing,FACILITY SERVICES,OFFICE FURNITURE,0.6258545554410389,similarity_search,"[{""l2"": ""FACILITY SERVICES"", ""l3"": ""OFFICE FURNITURE"", ""score"": 0.0, ""definition"": ""Desks, chairs, cubicles, artwork, d\u00e9cor""}, {""l2"": ""CONSTRUCTION SERVICES"", ""l3"": ""ARCHITECTURE & INTERIOR DESIGN"", ""score"": 0.0, ""definition"": ""Architectural services for the company's buildings and property Interior design services for the company's office space""}, {""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""BUILDING REPAIR & MAINTENANCE"", ""score"": 0.0, ""definition"": ""Repair and maintenance services""}]","Desks, chairs, cubicles, artwork, décor"
Employee Services,Business Travel & Fleet Management,"Local Transport (Taxi, public transport, shuttle)",GROUND TRANSPORTATION,TAXI / RIDESHARE,0.6653846699457967,similarity_search,"[{""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""TAXI / RIDESHARE"", ""score"": 0.0, ""definition"": ""Ride share services used for business travel""}, {""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""CAR SERVICE"", ""score"": 0.0, ""definition"": ""Car share services for business travel""}, {""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""AUTO RENTAL"", ""score"": 0.0, ""definition"": ""Car rental for business travel""}]",Ride share services used for business travel
Employee Services,Business Travel & Fleet Management,Other Fleetmanagement,FLEET SERVICES,FLEET MANAGEMENT & LEASING,0.6001992881119954,similarity_search,"[{""l2"": ""FLEET SERVICES"", ""l3"": ""FLEET MANAGEMENT & LEASING"", ""score"": 0.0, ""definition"": ""Fleet Management Companies (FMCs) that are/can be responsible for the complete lifecycle of a company's fleet of vehicles""}, {""l2"": ""TRAVEL MANAGEMENT"", ""l3"": ""TRAVEL MANAGEMENT"", ""score"": 0.0, ""definition"": ""External travel agency and/or booking tool used to manage travel needs""}, {""l2"": ""FLEET SERVICES"", ""l3"": ""TELEMATICS & GPS TRACKING"", ""score"": 0.0, ""definition"": ""Telematics and GPS technology for fleet vehicles""}]",Fleet Management Companies (FMCs) that are/can be responsible for the complete lifecycle of a company's fleet of vehicles
Employee Services,Business Travel & Fleet Management,Rental cars,GROUND TRANSPORTATION,AUTO RENTAL,0.7095277386059307,similarity_search,"[{""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""AUTO RENTAL"", ""score"": 0.0, ""definition"": ""Car rental for business travel""}, {""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""CAR SERVICE"", ""score"": 0.0, ""definition"": ""Car share services for business travel""}, {""l2"": ""TRAVEL MANAGEMENT"", ""l3"": ""TRAVEL MANAGEMENT"", ""score"": 0.0, ""definition"": ""External travel agency and/or booking tool used to manage travel needs""}]",Car rental for business travel
Employee Services,Business Travel & Fleet Management,Travel agencies and systems,TRAVEL MANAGEMENT,TRAVEL MANAGEMENT,0.7112313508987427,similarity_search,"[{""l2"": ""TRAVEL MANAGEMENT"", ""l3"": ""TRAVEL MANAGEMENT"", ""score"": 0.0, ""definition"": ""External travel agency and/or booking tool used to manage travel needs""}, {""l2"": ""TRAVEL EXPENSES"", ""l3"": ""MEALS & ENTERTAINMENT"", ""score"": 0.0, ""definition"": ""Meals, snacks, restaurants and entertainment for employees and any business guests""}, {""l2"": ""TRAVEL MANAGEMENT"", ""l3"": ""TRAVEL CARD"", ""score"": 0.0, ""definition"": ""Travel credit card payments and reimbursements""}]",External travel agency and/or booking tool used to manage travel needs
Employee Services,Business Travel & Fleet Management,Vehicle leasing,FLEET SERVICES,VEHICLE LEASING / PURCHASE,0.6631930072067158,similarity_search,"[{""l2"": ""FLEET SERVICES"", ""l3"": ""VEHICLE LEASING / PURCHASE"", ""score"": 0.0, ""definition"": ""Fleet vehicle financing through banks""}, {""l2"": ""FLEET SERVICES"", ""l3"": ""FLEET MANAGEMENT & LEASING"", ""score"": 0.0, ""definition"": ""Fleet Management Companies (FMCs) that are/can be responsible for the complete lifecycle of a company's fleet of vehicles""}, {""l2"": ""GROUND TRANSPORTATION"", ""l3"": ""AUTO RENTAL"", ""score"": 0.0, ""definition"": ""Car rental for business travel""}]",Fleet vehicle financing through banks
Employee Services,Food & Drinks,Food & Drink Consumables,IN-STORE SUPPLIES,STORE SUPPLIES,0.5978348611494911,similarity_search,"[{""l2"": ""IN-STORE SUPPLIES"", ""l3"": ""STORE SUPPLIES"", ""score"": 0.0, ""definition"": ""Store supplies & consumables""}, {""l2"": ""FOOD SERVICES"", ""l3"": ""BREAKROOM SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services specific to coffee and break room services, not cafeteria""}, {""l2"": ""FOOD SERVICES"", ""l3"": ""FOOD SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services focused on corporate cafeterias or in office catering""}]",Store supplies & consumables
Employee Services,Food & Drinks,Food & Drink Equipment,BUILDING REPAIR & MAINTENANCE,KITCHEN EQUIPMENT,0.6638946533203314,similarity_search,"[{""l2"": ""BUILDING REPAIR & MAINTENANCE"", ""l3"": ""KITCHEN EQUIPMENT"", ""score"": 0.0, ""definition"": ""Kitchen equipment services""}, {""l2"": ""FOOD SERVICES"", ""l3"": ""BREAKROOM SERVICES"", ""score"": 0.0, ""definition"": ""Food service management services specific to coffee and break room services, not cafeteria""}, {""l2"": ""FOOD SERVICES"", ""l3"": ""VENDING"", ""score"": 0.0, ""definition"": ""Vending Services and supplies for new vending or repairs""}]",Kitchen equipment services
Employee Services,Health & Safety,Health & Safety Equipment,INSURANCE & BENEFITS,INSURANCE & BENEFITS,0.5501446276472216,similarity_search,"[{""l2"": ""INSURANCE & BENEFITS"", ""l3"": ""INSURANCE & BENEFITS"", ""score"": 0.0, ""definition"": ""General employee insurance & benefits services""}, {""l2"": ""HR SERVICES"", ""l3"": ""EMPLOYER COMPLIANCE SERVICES"", ""score"": 0.0, ""definition"": ""Services focused on providing labor law postings, safety notices, anti harassment, and other collateral""}, {""l2"": ""INDUSTRIAL SUPPLIES"", ""l3"": ""SAFETY SUPPLIES"", ""score"": 0.0, ""definition"": ""Personal Protection Equipment (PPE) such as gloves, glasses, ear protection, Tyvek suits, cut and flame protection, shoes""}]",General employee insurance & benefits services
